# Written by the BoltzWann module of the Wannier90 code.
# [Electrical conductivity in SI units, i.e. in 1/Ohm/m]
# Mu(eV) Temp(K) ElCond_xx ElCond_xy ElCond_yy ElCond_xz ElCond_yz ElCond_zz
   5.781600000      0.1000000000       1.313716823     -0.2661612175E-03  0.2209483080      0.8208260751E-04 -0.4458278898E-05  0.3470105238E-01
   5.781600000       50.10000000       4450779.738      -237.9554673       785651.9735       330.3946193       4.902790066       119069.6012    
   5.781600000       100.1000000       4344636.757      -183.3529841       789004.6505       346.4103036       4.746154857       118305.5468    
   5.781600000       150.1000000       4320539.932      -172.2340702       791033.5984       354.2104023       6.966360299       117513.0363    
   5.781600000       200.1000000       4314244.703      -167.5621045       792588.3255       357.6670735       10.98405303       116735.0330    
   5.781600000       250.1000000       4310959.447      -165.0862011       793816.6984       359.1099589       15.47389936       116009.0293    
   5.781600000       300.1000000       4309387.318      -163.2675047       794913.9673       359.2479120       19.67040101       115395.2812    
   6.281600000      0.1000000000       1.120222252     -0.8741971797E-03  0.4215977205     -0.3302770009E-04 -0.1292322002E-04  0.1131143918E-01
   6.281600000       50.10000000       3685164.462      0.7517420557       1408945.827      -102.5282170      -53.44307197       38803.56614    
   6.281600000       100.1000000       3767171.985       67.43277338       1400189.629      -92.23128635      -54.84455922       38559.26621    
   6.281600000       150.1000000       3861416.125       65.05953587       1393353.030      -86.07269616      -52.77510885       38582.31513    
   6.281600000       200.1000000       3904156.969       61.34884414       1384527.524      -84.24025597      -50.45327123       38727.78541    
   6.281600000       250.1000000       3920345.177       58.26916609       1373978.467      -84.84351834      -48.71461693       38962.06322    
   6.281600000       300.1000000       3926349.733       55.60499232       1362238.519      -86.62390397      -47.68143928       39296.56745    
   6.781600000      0.1000000000      0.4106594286     -0.1593742605E-03  0.3129115040     -0.6549874909E-06  0.2432760312E-05  0.2064917256E-01
   6.781600000       50.10000000       1398055.256       62.91990023       1040150.852       92.77631317       5.967237338       72339.78372    
   6.781600000       100.1000000       1390731.258       51.02084495       1035685.293       174.4969829       9.899089583       73435.45618    
   6.781600000       150.1000000       1398815.756       41.91938065       1033769.974       241.1149505       13.93675092       74597.99857    
   6.781600000       200.1000000       1408429.127       41.84685124       1031700.348       295.6030000       17.16399538       75624.18284    
   6.781600000       250.1000000       1416855.655       47.03947312       1028461.135       340.5677941       19.93659318       76413.05655    
   6.781600000       300.1000000       1424854.901       54.80836414       1023975.253       378.4040031       22.90387306       76962.26437    
   7.281600000      0.1000000000      0.6607695867     -0.1829222781E-03  0.2034118856      0.3361280524E-03 -0.4996370959E-05  0.5483559703E-01
   7.281600000       50.10000000       2215753.860      -70.69445574       679013.7707       1348.457156       5.012752235       190923.7833    
   7.281600000       100.1000000       2207943.892      -47.99749705       683036.1165       1330.967800       44.00548354       192093.6097    
   7.281600000       150.1000000       2215594.857      -39.75705088       688464.2437       1321.285488       70.89356301       192860.6135    
   7.281600000       200.1000000       2222701.141      -32.17312173       693154.1640       1315.794223       87.22057430       193016.4409    
   7.281600000       250.1000000       2228312.031      -25.52893386       696838.4888       1308.960690       96.07649840       192544.8906    
   7.281600000       300.1000000       2233394.024      -20.13123826       699534.5926       1298.184544       100.1273937       191491.8737    
   7.781600000      0.1000000000      0.6946207639     -0.1178625067E-03  0.1742958859     -0.3021218592E-03  0.1247682634E-04  0.4310307013E-01
   7.781600000       50.10000000       2460665.482      -66.19802567       612381.9693      -1025.701373       50.78450942       148079.6317    
